Date,TradeStat,Sector,Measure,Value
1997-05-01,E,TBS,WMF,692.37650446
1997-05-01,E,TBS,N,
1997-05-01,E,TBS,R,
1997-05-01,A,GT,WMF,8193.48808489
1997-05-01,A,GT,N,
1997-05-01,A,GT,R,
1997-05-01,A,CHEM,WMF,2363.36138496
1997-05-01,A,CHEM,N,
1997-05-01,A,CHEM,R,
1997-05-01,A,ME,WMF,2403.23568313
1997-05-01,A,ME,N,
1997-05-01,A,ME,R,
1997-05-01,A,UHR,WMF,678.48728838
1997-05-01,A,UHR,N,
1997-05-01,A,UHR,R,
1997-05-01,A,PI,WMF,456.66728759
1997-05-01,A,PI,N,
1997-05-01,A,PI,R,
1997-05-01,A,MET,WMF,734.76093387
1997-05-01,A,MET,N,
1997-05-01,A,MET,R,
1997-05-01,A,FZ,WMF,211.27760717
1997-05-01,A,FZ,N,
1997-05-01,A,FZ,R,
1997-05-01,A,TBS,WMF,329.39357444
1997-05-01,A,TBS,N,
1997-05-01,A,TBS,R,
1997-05-01,H,GT,WMF,-83.75703817
1997-06-01,E,GT,WMF,8347.83729662
1997-06-01,E,GT,N,
1997-06-01,E,GT,R,
1997-06-01,E,CHEM,WMF,1330.578308
1997-06-01,E,CHEM,N,
1997-06-01,E,CHEM,R,
1997-06-01,E,ME,WMF,1912.49888602
1997-06-01,E,ME,N,
1997-06-01,E,ME,R,
1997-06-01,E,UHR,WMF,106.21085417
1997-06-01,E,UHR,N,
1997-06-01,E,UHR,R,
1997-06-01,E,PI,WMF,261.58760344
1997-06-01,E,PI,N,
1997-06-01,E,PI,R,
1997-06-01,E,MET,WMF,743.4972342
1997-06-01,E,MET,N,
1997-06-01,E,MET,R,
1997-06-01,E,FZ,WMF,934.23469781
1997-06-01,E,FZ,N,
1997-06-01,E,FZ,R,
1997-06-01,E,TBS,WMF,685.37236959
1997-06-01,E,TBS,N,
1997-06-01,E,TBS,R,
1997-06-01,A,GT,WMF,8579.69800408
1997-06-01,A,GT,N,
1997-06-01,A,GT,R,
1997-06-01,A,CHEM,WMF,2534.39440059
1997-06-01,A,CHEM,N,
1997-06-01,A,CHEM,R,
1997-06-01,A,ME,WMF,2597.58433782
1997-06-01,A,ME,N,
1997-06-01,A,ME,R,
1997-06-01,A,UHR,WMF,699.58812079
1997-06-01,A,UHR,N,
1997-06-01,A,UHR,R,
1997-06-01,A,PI,WMF,470.56186047
1997-06-01,A,PI,N,
1997-06-01,A,PI,R,
1997-06-01,A,MET,WMF,757.36629361
1997-06-01,A,MET,N,
1997-06-01,A,MET,R,
1997-06-01,A,FZ,WMF,177.06296953
1997-06-01,A,FZ,N,
1997-06-01,A,FZ,R,
1997-06-01,A,TBS,WMF,324.28869577
1997-06-01,A,TBS,N,
1997-06-01,A,TBS,R,
1997-06-01,H,GT,WMF,231.86070746
1997-07-01,E,GT,WMF,8616.44104466
1997-07-01,E,GT,N,
1997-07-01,E,GT,R,
1997-07-01,E,CHEM,WMF,1409.5212543
1997-07-01,E,CHEM,N,
1997-07-01,E,CHEM,R,
1997-07-01,E,ME,WMF,1904.96313173
1997-07-01,E,ME,N,
1997-07-01,E,ME,R,
1997-07-01,E,UHR,WMF,104.18459744
1997-07-01,E,UHR,N,
1997-07-01,E,UHR,R,
1997-07-01,E,PI,WMF,278.91054807
1997-07-01,E,PI,N,
1997-07-01,E,PI,R,
1997-07-01,E,MET,WMF,749.51210863
1997-07-01,E,MET,N,
1997-07-01,E,MET,R,
1997-07-01,E,FZ,WMF,1038.01380041
1997-07-01,E,FZ,N,
1997-07-01,E,FZ,R,
1997-07-01,E,TBS,WMF,694.51765537
1997-07-01,E,TBS,N,
1997-07-01,E,TBS,R,
1997-07-01,A,GT,WMF,8594.61875935
1997-07-01,A,GT,N,
1997-07-01,A,GT,R,
1997-07-01,A,CHEM,WMF,2491.04744203
1997-07-01,A,CHEM,N,
1997-07-01,A,CHEM,R,
1997-07-01,A,ME,WMF,2586.39047952
1997-07-01,A,ME,N,
1997-07-01,A,ME,R,
1997-07-01,A,UHR,WMF,689.31764307
1997-07-01,A,UHR,N,
1997-07-01,A,UHR,R,
1997-07-01,A,PI,WMF,501.88876866
1997-07-01,A,PI,N,
1997-07-01,A,PI,R,
1997-07-01,A,MET,WMF,752.59875701
1997-07-01,A,MET,N,
1997-07-01,A,MET,R,
1997-07-01,A,FZ,WMF,218.96222327
1997-07-01,A,FZ,N,
1997-07-01,A,FZ,R,
1997-07-01,A,TBS,WMF,323.54517652
1997-07-01,A,TBS,N,
1997-07-01,A,TBS,R,
1997-07-01,H,GT,WMF,-21.82228531
1997-08-01,E,GT,WMF,8789.64466017
1997-08-01,E,GT,N,
1997-08-01,E,GT,R,
1997-08-01,E,CHEM,WMF,1461.64230722
1997-08-01,E,CHEM,N,
1997-08-01,E,CHEM,R,
1997-08-01,E,ME,WMF,1951.95502718
1997-08-01,E,ME,N,
1997-08-01,E,ME,R,
1997-08-01,E,UHR,WMF,108.60152597
1997-08-01,E,UHR,N,
1997-08-01,E,UHR,R,
1997-08-01,E,PI,WMF,261.43991506
1997-08-01,E,PI,N,
1997-08-01,E,PI,R,
1997-08-01,E,MET,WMF,752.6073624
1997-08-01,E,MET,N,
1997-08-01,E,MET,R,
1997-08-01,E,FZ,WMF,1129.27569768
1997-08-01,E,FZ,N,
1997-08-01,E,FZ,R,
1997-08-01,E,TBS,WMF,693.56807606
1997-08-01,E,TBS,N,
1997-08-01,E,TBS,R,
1997-08-01,A,GT,WMF,8717.30770187
1997-08-01,A,GT,N,
1997-08-01,A,GT,R,
1997-08-01,A,CHEM,WMF,2556.31230121
1997-08-01,A,CHEM,N,
1997-08-01,A,CHEM,R,
1997-08-01,A,ME,WMF,2620.24826379
1997-08-01,A,ME,N,
1997-08-01,A,ME,R,
1997-08-01,A,UHR,WMF,759.39473148
1997-08-01,A,UHR,N,
1997-08-01,A,UHR,R,
1997-08-01,A,PI,WMF,497.08744107
1997-08-01,A,PI,N,
1997-08-01,A,PI,R,
1997-08-01,A,MET,WMF,758.14895919
1997-08-01,A,MET,N,
1997-08-01,A,MET,R,
1997-08-01,A,FZ,WMF,221.82290521
1997-08-01,A,FZ,N,
1997-08-01,A,FZ,R,
