"CubeId";"devkum"
"PublishingDate";"2022-10-03 14:30"

"Date";"D0";"D1";"Value"
"2021-02";"M0";"CAD1";"0.70691"
"2021-02";"M0";"ARS1";"0.01013"
"2021-02";"M0";"BRL100";"16.58829"
"2021-02";"M0";"MXN100";"4.4258"
"2021-02";"M0";"ZAR1";"0.06081"
"2021-02";"M0";"JPY100";"0.8516"
"2021-02";"M0";"AUD1";"0.69602"
"2021-02";"M0";"CNY100";"13.89589"
"2021-02";"M0";"HKD100";"11.57295"
"2021-02";"M0";"KRW100";"0.08073"
"2021-02";"M0";"MYR100";"22.17867"
"2021-02";"M0";"NZD1";"0.65021"
"2021-02";"M0";"SGD1";"0.67603"
"2021-02";"M0";"THB100";"2.99003"
"2021-02";"M0";"XDR1";"1.29246"
"2021-02";"M0";"USD3M";"0.895"
"2021-02";"M0";"USD6M";"0.8927"
"2021-03";"M0";"EUR1";"1.10624"
"2021-03";"M0";"GBP1";"1.28826"
"2021-03";"M0";"DKK100";"14.87645"
"2021-03";"M0";"NOK100";"10.90131"
"2021-03";"M0";"CZK100";"4.22369"
"2021-03";"M0";"HUF100";"0.30249"
"2021-03";"M0";"PLN100";"24.05762"
"2021-03";"M0";"RUB1";"0.01248"
"2021-03";"M0";"SEK100";"10.87807"
"2021-03";"M0";"TRY100";"12.11563"
"2021-03";"M0";"USD1";"0.92945"
"2021-03";"M0";"CAD1";"0.73898"
"2021-03";"M0";"ARS1";"0.01021"
"2021-03";"M0";"BRL100";"16.47986"
"2021-03";"M0";"MXN100";"4.4692"
"2021-03";"M0";"ZAR1";"0.06201"
"2021-03";"M0";"JPY100";"0.85509"
"2021-03";"M0";"AUD1";"0.71622"
"2021-03";"M0";"CNY100";"14.27819"
"2021-03";"M0";"HKD100";"11.96933"
"2021-03";"M0";"KRW100";"0.0822"
"2021-03";"M0";"MYR100";"22.61039"
"2021-03";"M0";"NZD1";"0.66308"
"2021-03";"M0";"SGD1";"0.69227"
"2021-03";"M0";"THB100";"3.01906"
"2021-03";"M0";"XDR1";"1.3275"
"2021-03";"M0";"USD3M";"0.927"
"2021-03";"M0";"USD6M";"0.9246"
"2021-04";"M0";"EUR1";"1.10326"
"2021-04";"M0";"GBP1";"1.27488"
"2021-04";"M0";"DKK100";"14.83537"
"2021-04";"M0";"NOK100";"10.98858"
"2021-04";"M0";"CZK100";"4.25505"
"2021-04";"M0";"HUF100";"0.30578"
"2021-04";"M0";"PLN100";"24.16934"
"2021-04";"M0";"RUB1";"0.01211"
"2021-04";"M0";"SEK100";"10.85842"
"2021-04";"M0";"TRY100";"11.27475"
"2021-04";"M0";"USD1";"0.92125"
"2021-04";"M0";"CAD1";"0.73686"
"2021-04";"M0";"ARS1";"0.00993"
