location,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20220107T0200,-0.88975465,0.0,4.802999,167.00539
20220107T0300,-0.9597546,0.0,5.4119864,176.18593
20220107T0400,-1.0497546,0.0,6.4799995,180.0
20220107T0500,-0.89975464,0.0,6.162207,186.70984
20220107T0600,-0.62975454,0.0,6.5693827,189.46233
20220107T0700,-0.4597546,0.0,7.5685663,182.72632
20220107T0800,0.080245405,0.0,9.028754,175.42609
20220107T0900,0.84024537,0.0,9.746631,175.76361
20220107T1000,1.8302454,0.0,11.165805,181.84761
20220107T1100,2.0102453,0.0,11.525623,194.47029
20220107T1200,2.0202456,0.1,14.039999,202.61987
20220107T1300,1.6602454,0.4,14.654254,207.8241
20220107T1400,1.6002454,0.3,12.313894,217.87498
20220107T1500,1.7702454,0.2,13.004922,221.63354
20220107T1600,1.9602454,0.2,13.324863,218.41806
20220107T1700,1.7802454,0.2,13.104198,217.18471
20220107T1800,1.9202454,0.4,13.755579,222.8789
20220107T1900,2.1502454,0.0,13.246826,222.7974
20220107T2000,2.5302453,0.0,13.089354,211.50427
20220107T2100,2.8202453,0.0,14.007655,205.90651
20220107T2200,2.9202452,0.0,14.658676,204.67686
20220107T2300,3.2702456,0.0,17.193533,199.57312
20220108T0000,3.4502454,0.2,18.345877,195.94539
20220108T0100,3.3702455,1.1,19.592731,200.43283
20220108T0200,3.2002454,1.1,20.696087,220.06079
20220108T0300,3.3402452,0.3,21.30093,239.53445
20220108T0400,3.6002455,0.1,22.104116,253.92644
20220108T0500,3.5702453,0.1,18.448023,264.40067
20220108T0600,3.2402453,0.2,14.869351,263.04706
20220108T0700,2.7102456,0.0,12.522619,251.56506
20220108T0800,2.6002455,0.0,10.883676,235.7843
20220108T0900,2.6702452,0.0,13.584932,237.99463
20220108T1000,3.0902452,0.0,15.876775,237.0306
20220108T1100,3.7402453,0.0,18.709612,239.98164
20220108T1200,4.4702454,0.0,17.429354,231.70984
20220108T1300,4.8402452,0.0,16.992609,216.38435
20220108T1400,5.0502453,0.0,16.485485,211.6075
20220108T1500,5.0702453,0.0,13.049689,204.44395
20220108T1600,4.9902453,0.0,13.1041975,200.9245
20220108T1700,5.4102454,0.0,13.661038,198.43495
20220108T1800,5.2402453,0.1,14.458382,198.8861
20220108T1900,5.440245,0.3,16.808569,189.86581
20220108T2000,5.5902452,0.3,18.03237,183.43362
20220108T2100,5.630245,0.3,18.416384,184.4846
