location,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697
variable,Temperature,Temperature,Temperature,Precipitation Total,Wind Speed,Wind Speed,Wind Speed,Wind Direction Dominant
unit,°C,°C,°C,mm,km/h,km/h,km/h,°
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,sfc,10 m,10 m,10 m,10 m
resolution,daily,daily,daily,daily,daily,daily,daily,daily
aggregation,Maximum,Minimum,Mean,Summation,Maximum,Minimum,Mean,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Direction Dominant [10 m]
20220613T0000,25.87053,15.590529,21.109276,0.0,19.296135,1.9386592,10.60958,330.74463
20220614T0000,27.920528,12.230529,20.933031,0.0,16.1198,3.5455887,9.96453,102.30319
20220615T0000,32.48053,13.630529,24.957611,0.0,15.119999,1.1384199,7.8967495,181.28253
20220616T0000,31.010529,18.500528,26.034279,0.0,17.477621,0.35999998,9.618916,305.52203
20220617T0000,30.670528,16.530529,24.549278,0.0,9.746631,1.1384199,5.497684,97.26695
20220618T0000,34.96053,17.770529,27.012611,0.0,20.674158,5.95906,13.878892,117.74951
20220619T0000,36.33053,21.990528,29.322195,0.0,19.64228,3.096837,12.743518,203.6756
20220620T0000,31.71053,20.520529,25.956362,0.0,24.993439,2.0991426,11.038609,340.4676
20220621T0000,32.24053,15.820529,25.130112,1.4,18.58451,1.609969,9.800736,101.07342
20220622T0000,26.38053,19.89053,23.201777,5.4,27.07669,3.2399998,8.534482,177.15788
20220623T0000,30.62053,18.57053,24.800116,3.0,19.70815,1.5273507,6.6518903,170.28331
