location,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20220108T1300,6.9605284,0.0,23.906818,251.56506
20220108T1400,6.9005284,0.0,22.55106,253.30075
20220108T1500,6.7405286,0.0,22.180206,234.24612
20220108T1600,5.6605287,0.0,24.967497,222.66269
20220108T1700,5.4505286,0.0,28.856194,229.55377
20220108T1800,4.9105287,0.1,34.63492,226.6847
20220108T1900,4.8305287,0.1,36.424103,222.99747
20220108T2000,4.9505286,0.1,39.28456,221.28471
20220108T2100,5.2205286,0.0,48.262825,220.46222
20220108T2200,5.7405286,0.7,51.34892,220.16559
20220108T2300,5.6805286,0.3,59.066338,224.01224
20220109T0000,6.4205284,0.5,63.93219,242.13628
20220109T0100,5.5305285,0.6,47.27528,253.63509
20220109T0200,4.0805287,0.6,50.73957,254.78055
20220109T0300,2.2105286,1.5,48.965294,270.84253
20220109T0400,3.3505285,0.1,44.456722,275.1104
20220109T0500,3.1205285,0.0,42.420467,276.82346
20220109T0600,2.9305286,0.0,38.202427,272.70062
20220109T0700,2.5405285,0.0,32.431984,267.4552
20220109T0800,2.9405286,0.0,30.018473,264.4945
20220109T0900,3.8805285,0.0,29.539747,267.90475
20220109T1000,4.7805285,0.0,29.888672,268.61966
20220109T1100,4.9105287,0.0,27.595823,277.49585
20220109T1200,5.0105286,0.0,21.746504,276.65442
20220109T1300,5.5805287,0.1,20.633371,276.009
20220109T1400,5.290529,0.0,19.083395,268.91907
20220109T1500,4.9605284,0.0,16.394829,261.1582
20220109T1600,3.9205287,0.1,13.009903,255.57922
20220109T1700,3.1305285,0.6,8.557102,255.37914
20220109T1800,2.1405284,0.7,9.793058,252.89728
20220109T1900,2.3505285,0.5,7.289444,290.22485
20220109T2000,2.0305285,0.5,8.311245,287.65012
20220109T2100,1.7205287,0.2,10.24578,288.43494
20220109T2200,1.9405286,0.1,10.182337,315.0
20220109T2300,1.8105286,0.3,13.18308,325.008
20220110T0000,1.5605286,0.4,12.599998,323.13013
20220110T0100,2.2005286,0.0,16.595179,347.4712
20220110T0200,0.67052865,0.0,13.358861,345.96375
20220110T0300,0.37052867,0.0,11.503113,339.8637
20220110T0400,0.9605287,0.0,10.703569,340.3462
20220110T0500,1.0505286,0.0,10.30883,335.22485
20220110T0600,0.99052864,0.0,8.435069,320.19443
20220110T0700,0.9605287,0.0,6.638072,310.60132
20220110T0800,1.1205287,0.0,7.145796,310.91437
20220110T0900,1.6905286,0.0,7.928177,320.52753
20220110T1000,2.2805285,0.0,10.00256,329.7436
20220110T1100,2.6505284,0.0,11.435313,331.8214
