Datum;Gasverbrauch effektiv;Gasverbrauch erwartet;Differenz Gasverbrauch (effektiv - erwartet);Prognoseintervall tief;Prognoseintervall hoch;data split
2023-05-08;4.2139247038;3.83299917346556;0.380925530334444;1.89307809388787;5.77292025304324;Train
2023-05-13;4.3768502228;4.30940853988362;0.06744168291638;2.37078792143049;6.24802915833675;Train
2023-05-14;3.781050681;4.06667038652482;-0.285619705524824;2.13186988102977;6.00147089201988;Train
2023-05-16;6.4370968846;6.29487753901854;0.142219345581457;4.33760926283616;8.25214581520093;Train
2023-05-21;3.2886412222;2.15491552186442;1.13372570033558;0.215824876262213;4.09400616746663;Train
2023-05-22;3.50561661686;2.60444740956121;0.901169207298792;0.662519447120962;4.54637537200145;Train
2023-05-23;3.20119032396;3.00732280866761;0.193867515292392;1.07389742631527;4.94074819101994;Train
2023-05-24;4.0708326098;5.02248991436203;-0.951657304562028;3.07167371385728;6.97330611486677;Train
2023-05-28;2.62623432178;1.7265550099298;0.899679311850199;-0.249169745777488;3.70227976563709;Train
2023-06-03;2.61650414965;2.30298152111933;0.313522628530667;0.362636162779346;4.24332687945932;Train
2023-06-05;2.69233451158;3.00189338859957;-0.309558877019571;1.05997913734524;4.94380763985391;Test
2023-06-07;2.5557643326;2.7787294998327;-0.222965167232696;0.84028773480754;4.71717126485785;Train
2023-06-10;2.20775440011;1.725104027285;0.482650372824999;-0.209348093738366;3.65955614830837;Test
2023-06-13;2.90320878122;2.97675737087256;-0.0735485896525563;1.02971897033875;4.92379577140636;Train
2023-06-14;3.11887999833;2.98940191778218;0.129478080547819;1.04363232369397;4.93517151187039;Train
2023-06-16;2.76319107734;2.65823295615246;0.104958121187541;0.719062593526952;4.59740331877797;Train
2023-06-20;2.65234642472;2.16832925841777;0.484017166302233;0.219922989840496;4.11673552699504;Test
2023-06-24;2.40635574287;1.81079980981436;0.595555933055643;-0.12554975928942;3.74714937891813;Train
2023-06-28;2.64429247714;2.90574380265306;-0.26145132551306;0.968685373434913;4.84280223187121;Train
2023-06-29;2.72504050476;2.4882720972377;0.236768407522297;0.549379112625834;4.42716508184957;Test
2023-07-03;2.98307480679;2.72309832824856;0.259976478541444;0.788706689918538;4.65748996657857;Train
2023-07-05;2.8648551394;2.7404233588767;0.124431780523297;0.802428682200488;4.67841803555292;Train
2023-07-06;2.7045137376;2.58418560641611;0.120328131183889;0.643229941684536;4.52514127114769;Test
2023-07-07;2.39862692461;2.0684554357782;0.330171488831797;0.13134487617223;4.00556599538418;Train
2023-07-08;2.07297532684;1.51912469286155;0.55385063397845;-0.414307113339925;3.45255649906302;Train
2023-07-09;2.0810485961;1.5407769626921;0.540271633407899;-0.416884560089082;3.49843848547328;Train
2023-07-10;2.42683056333;2.06683196068118;0.359998602648822;0.119829668824576;4.01383425253778;Train
2023-07-13;2.43363739722;2.34685246724617;0.0867849299738328;0.410302222160634;4.2834027123317;Test
2023-07-14;2.28357149796;2.12192795536625;0.161643542593749;0.189013808387974;4.05484210234453;Train
2023-07-15;2.23352158576;1.39572539791065;0.837796187849351;-0.542449213318098;3.3339000091394;Test
2023-07-16;2.14699754857;1.96913563690036;0.177861911669635;0.0338034592999685;3.90446781450076;Train
2023-07-17;2.59630375142;2.46572966215019;0.13057408926981;0.533278613802013;4.39818071049837;Train
2023-07-18;2.55214793795;2.22122298153681;0.33092495641319;0.287132420246209;4.15531354282741;Train
2023-07-20;2.31925802633;2.37267489259817;-0.0534168662681669;0.436989499514531;4.3083602856818;Train
2023-07-23;2.40146403259;1.80112854354653;0.600335489043469;-0.135485806101004;3.73774289319407;Train
2023-07-24;2.74142137169;2.72864381938756;0.0127775523024378;0.777612644969023;4.6796749938061;Test
2023-07-25;3.3963512524;3.15937877478594;0.236972477614056;1.21173175988404;5.10702578968785;Train
2023-07-29;2.40530650439;1.6976475904982;0.707658913891797;-0.243626258260991;3.6389214392574;Train
2023-08-01;2.42661739142;1.79878755926172;0.627829832158283;-0.233067534876074;3.83064265339951;Prognose
