pm10_stundenmittelwerte_ug_m3,pm2_5_stundenmittelwerte_ug_m3,no2_stundenmittelwerte_ug_m3
291.53000000000003,206.476,411.242
298.343,194.23,553.946
369.582,243.523,714.287
343.149,175.373,579.657
308.815,204.249,394.922
356.528,218.028,662.313
522.586,376.762,658.961
622.893,450.925,499.121
450.697,275.124,687.039
652.633,451.246,656.5
514.9159999999999,304.671,553.071
470.667,270.83500000000004,585.98
622.099,353.144,757.127
620.081,358.825,651.744
504.406,288.925,487.913
444.344,256.237,413.14099999999996
531.983,244.848,656.457
539.558,218.309,549.457
634.504,282.779,785.508
648.128,299.78499999999997,712.295
614.52,307.705,611.404
538.11,311.201,475.966
556.424,280.766,695.325
503.942,266.413,697.608
579.461,306.707,756.588
585.684,348.827,813.418
504.177,319.161,730.976
448.674,295.375,521.583
403.33,265.209,473.343
500.008,285.885,667.126
552.528,273.891,624.296
674.349,314.528,900.747
671.364,352.973,855.057
663.937,371.142,854.03
599.534,382.992,692.393
623.308,399.268,469.711
519.115,329.25100000000003,652.288
549.962,329.761,439.872
525.851,304.892,611.712
688.677,375.229,570.946
371.244,265.047,539.241
376.629,267.551,562.603
384.93399999999997,295.906,508.225
497.523,318.098,520.542
392.353,199.975,558.86
405.961,212.061,751.6
490.817,311.775,778.097
394.05899999999997,319.668,535.179
289.985,168.192,318.521
486.578,410.676,213.846
392.649,274.216,328.261
249.408,143.614,414.207
261.398,167.857,308.639
387.525,237.794,626.934
463.141,278.442,662.08
382.102,242.923,397.264
449.792,294.076,336.657
476.79,317.88599999999997,547.517
586.768,404.256,585.908
402.105,233.743,343.403
326.977,156.588,355.286
413.333,228.89000000000001,739.708
415.46999999999997,257.845,453.062
245.10399999999998,155.262,220.506
351.484,218.74699999999999,411.383
431.418,252.041,615.292
426.041,250.755,475.212
395.199,169.904,431.698
359.525,192.701,607.688
271.117,167.046,368.955
295.649,199.577,332.06
321.498,218.538,506.692
231.12199999999999,132.213,280.169
226.454,142.649,324.175
305.394,183.751,533.72
282.385,167.447,463.798
238.244,165.86,273.201
220.66299999999998,147.142,212.86
320.162,240.293,385.032
297.536,241.925,207.817
260.494,177.289,327.404
220.60399999999998,124.143,221.863
233.967,127.663,484.05
221.012,156.716,246.176
166.02,105.245,105.991
198.084,122.086,307.724
236.116,147.425,423.88599999999997
328.081,183.962,638.487
318.596,190.53,648.928
342.88800000000003,221.047,643.326
350.157,251.818,543.771
347.657,274.765,358.43
440.609,324.125,509.23
434.658,309.094,632.734
416.224,287.415,605.189
471.95,326.164,611.178
466.474,274.605,665.021
559.493,352.301,618.612
574.268,402.19,505.916
672.885,431.937,810.846
549.027,334.562,699.739
580.376,332.647,792.58
645.617,384.812,767.157
378.866,269.99,559.696
323.561,232.517,338.627
229.427,172.825,292.985
285.267,195.349,523.836
236.478,193.642,512.989
277.593,214.348,421.184
228.084,175.854,467.289
266.671,189.462,594.172
278.723,217.369,662.932
283.467,223.484,462.614
353.653,254.073,576.639
336.663,238.774,581.144
409.227,274.637,859.797
490.231,328.883,959.767
576.272,379.444,919.126
541.94,384.905,638.7570000000001
533.677,395.57,628.698
604.343,383.573,850.5
631.35,390.83,685.236
283.489,216.757,585.338
346.177,260.216,635.505
392.554,278.528,734.372
386.346,321.296,505.202
322.908,260.59,366.523
308.384,217.21099999999998,458.949
212.913,172.164,414.501
337.173,222.312,679.1610000000001
384.629,225.844,507.715
201.719,169.87800000000001,399.681
195.473,169.399,368.397
223.712,200.24099999999999,422.338
314.746,212.227,744.755
418.673,263.587,867.832
453.914,297.629,829.744
465.824,295.968,977.611
497.828,322.391,593.594
363.008,291.254,704.082
462.429,391.93600000000004,577.273
685.916,545.463,649.367
609.715,403.58,538.833
355.606,188.193,667.669
397.89799999999997,225.409,764.268
491.627,297.273,976.945
390.461,268.041,876.21
684.605,357.615,784.877
1099.656,449.176,892.883
825.078,391.123,854.1669999999999
344.197,177.846,859.082
0.0,0.0,1043.86
0.0,0.0,918.537
126.00800000000001,70.071,276.58
217.987,131.522,366.48900000000003
332.226,174.935,701.369
439.124,328.397,570.364
447.341,348.615,594.381
377.90000000000003,313.902,680.837
279.468,175.791,645.88
162.944,89.262,478.953
220.408,134.612,569.642
380.128,223.45,760.822
307.638,206.687,667.547
210.573,115.714,416.641
196.303,114.756,615.316
161.718,87.271,507.164
198.437,113.847,503.60200000000003
203.63400000000001,109.168,379.948
344.31600000000003,195.088,740.547
169.958,78.09100000000001,475.637
251.412,147.744,504.408
198.47,92.281,538.77
213.058,118.985,605.448
168.489,99.187,393.813
139.856,65.2,100.001
180.005,83.866,550.989
217.056,114.946,629.229
627.76,216.642,783.269
350.54,166.536,856.724
154.78,79.943,389.112
159.936,92.023,327.355
202.901,127.449,356.647
271.708,115.3,491.218
186.927,93.306,619.459
185.867,99.767,419.07
243.469,135.521,549.998
143.848,74.41,372.897
232.022,154.825,486.80400000000003
226.91,154.632,579.726
232.568,118.843,313.288
179.421,96.485,488.897
275.328,184.314,598.152
403.805,259.825,674.6
174.476,94.735,371.327
180.997,116.003,266.51300000000003
211.863,148.576,434.194
354.089,255.145,775.898
164.976,110.67699999999999,457.359
266.373,175.107,739.1179999999999
242.272,187.683,752.0840000000001
289.456,249.078,906.548
360.478,321.49399999999997,603.946
361.552,315.651,487.358
415.279,362.005,601.072
298.234,215.341,667.824
187.85,119.295,491.38
346.911,279.762,596.573
393.662,327.612,783.025
308.391,250.43800000000002,642.885
292.847,191.621,427.321
193.919,115.804,737.075
216.784,145.058,723.495
164.067,96.169,538.3679999999999
189.714,122.681,398.447
331.005,187.251,731.067
323.573,268.797,609.157
389.04200000000003,325.54200000000003,452.724
439.994,318.482,552.856
484.048,316.727,767.972
215.334,171.785,676.332
65.293,80.53,290.87
85.686,93.989,228.953
35.968,68.908,162.403
96.994,104.719,423.51800000000003
130.286,122.663,394.966
224.956,185.562,591.236
303.023,237.052,724.206
379.442,288.694,934.79
275.429,229.556,705.922
195.501,140.72,835.338
195.992,171.949,359.542
368.463,308.72900000000004,359.203
73.117,56.201,326.511
61.712,37.32,128.459
155.956,100.46000000000001,438.033
282.303,213.032,837.684
237.429,197.302,425.91
178.326,164.993,406.731
286.73,209.474,472.926
639.582,514.901,635.34
956.678,839.766,954.573
1213.605,961.941,1089.284
1374.513,1134.843,1088.161
1220.661,1034.506,1024.418
948.005,731.084,860.764
725.103,513.668,560.253
785.724,404.372,1039.077
331.823,289.853,836.4830000000001
115.417,92.324,659.745
571.981,397.778,1009.907
661.362,545.196,988.891
581.952,510.582,687.9490000000001
392.031,311.315,930.785
270.105,151.488,658.71
132.164,79.511,440.221
143.318,68.029,642.301
182.409,90.212,549.575
326.776,241.355,729.675
355.167,313.361,452.016
561.396,418.284,629.23
630.116,475.326,824.677
612.828,438.752,902.75
397.162,253.087,789.7909999999999
364.36,236.533,745.811
261.263,196.53,572.434
99.309,55.827,183.446
315.563,160.282,503.007
278.41,163.095,333.259
284.786,135.516,483.538
358.052,156.902,530.844
274.736,163.493,748.773
368.337,296.964,599.282
67.334,46.97,203.15099999999998
197.21699999999998,94.22200000000001,479.306
312.325,163.906,824.249
401.861,206.276,942.238
346.495,198.258,683.447
431.817,235.982,714.689
297.519,233.465,587.758
378.216,321.163,428.87
144.51,83.745,321.147
293.779,138.489,570.063
333.714,205.609,701.98
91.215,48.361,249.346
132.005,60.841,426.709
112.738,76.815,436.038
140.275,106.943,397.991
178.695,89.313,552.559
508.815,351.446,762.986
682.335,555.294,693.075
812.489,614.058,810.954
501.105,368.58,696.585
277.262,231.423,528.971
376.887,300.588,640.682
281.892,187.441,473.24899999999997
292.81,209.862,451.431
181.589,115.589,552.2719999999999
426.293,359.075,372.773
602.945,526.336,376.467
577.773,491.819,615.524
332.949,275.986,493.31399999999996
204.328,134.594,574.749
210.144,145.176,499.898
200.685,106.872,613.273
270.347,167.60399999999998,583.804
330.132,166.703,553.546
120.971,78.19800000000001,274.939
215.57999999999998,152.572,449.856
194.514,119.556,547.227
290.111,165.315,653.244
292.819,156.637,700.865
331.844,185.528,695.954
366.502,199.263,654.177
189.86599999999999,119.316,274.785
82.911,52.554,128.831
140.364,88.951,348.836
279.032,125.488,590.355
190.554,89.0,349.049
146.858,86.325,380.589
147.121,85.617,437.605
724.02,308.525,491.475
564.513,300.57099999999997,468.64300000000003
122.968,65.324,183.299
169.65,67.439,315.339
159.308,81.13,532.394
196.779,104.465,514.133
280.597,129.151,684.47
285.998,145.379,471.3
477.915,169.405,371.716
1268.142,358.585,680.914
476.414,157.172,336.263
239.067,114.593,635.058
365.211,179.031,752.706
446.664,229.952,797.366
480.887,279.591,760.251
373.264,215.575,447.20300000000003
397.71,146.347,344.969
141.197,60.373,217.022
107.274,61.315,318.262
165.82,104.688,447.933
202.914,142.081,373.2
110.383,71.94,259.724
103.096,76.024,275.144
269.944,191.117,532.853
362.454,262.31600000000003,575.055
343.735,263.367,440.413
207.601,136.084,449.873
202.843,141.263,639.653
113.418,70.207,326.084
89.50999999999999,48.345,251.973
218.84199999999998,104.53999999999999,609.2330000000001
538.54,237.13,756.407
736.337,324.576,366.546
244.388,117.687,255.318
149.183,74.517,388.532
165.369,97.445,286.13599999999997
109.047,59.428,313.423
126.087,67.114,486.364
153.452,89.179,582.671
270.658,171.113,425.024
308.625,228.168,403.024
382.899,245.466,634.324
403.616,270.449,680.657
295.638,185.875,327.361
234.723,108.689,436.571
239.158,113.959,399.84
144.808,74.312,448.682
117.836,56.71,378.305
89.975,42.646,330.652
153.35999999999999,83.46000000000001,394.491
152.78300000000002,97.328,303.243
192.292,113.971,356.94100000000003
114.243,58.343,348.333
126.976,65.874,361.51
204.941,117.78699999999999,442.286
185.535,93.644,433.79
179.483,127.209,411.754
189.568,126.491,351.064
206.313,132.272,366.93399999999997
140.755,69.564,341.305
222.07999999999998,122.473,460.821
113.389,64.215,288.419
108.087,63.995,353.43
149.553,102.973,305.662
201.19,146.144,378.639
467.102,346.333,384.605
405.136,264.49,435.741
347.534,203.31799999999998,415.428
365.327,205.168,534.573
324.467,182.095,463.856
400.481,275.049,528.344
392.515,255.869,359.211
237.06900000000002,130.666,279.965
154.654,65.371,444.614
217.859,111.647,460.422
254.853,123.644,526.741
223.864,123.17,416.71
111.396,60.786,210.237
128.548,72.004,229.388
161.235,84.721,377.382
265.479,135.381,524.192
436.642,218.264,531.173
549.045,292.717,474.287
468.22700000000003,198.51,404.195
154.778,86.251,245.224
191.158,114.457,341.367
376.523,231.162,427.795
435.997,272.272,529.641
374.155,226.141,356.593
431.497,266.623,447.238
413.736,256.567,470.798
701.907,390.70799999999997,459.95
186.654,92.391,167.174
177.0,84.568,320.92
207.34,106.179,263.481
184.024,103.868,262.425
240.25300000000001,107.008,333.33299999999997
203.544,100.93299999999999,382.032
202.616,116.599,325.674
155.251,77.536,127.718
198.794,97.751,381.85699999999997
276.806,146.747,336.235
308.401,190.061,458.363
237.772,145.564,342.995
225.81,120.221,339.484
141.044,78.604,241.114
206.347,122.309,345.574
296.794,159.209,379.417
214.119,105.211,264.971
244.205,111.437,448.317
350.18,162.545,526.92
457.146,251.316,493.915
473.872,298.448,480.95300000000003
270.852,171.996,206.655
158.106,81.162,243.159
199.518,99.657,284.478
197.228,92.431,369.148
254.02,127.754,492.477
340.776,159.46,483.461
384.327,214.253,455.38
198.596,133.965,252.215
336.224,208.562,497.247
419.441,225.10399999999998,576.693
674.951,327.043,553.838
401.319,239.218,260.189
322.639,170.548,363.436
322.255,206.334,236.88
231.869,159.691,174.791
240.636,128.757,385.947
316.642,160.666,419.806
267.007,168.074,411.562
254.851,131.207,327.52
280.827,136.779,357.03
296.235,149.689,419.05400000000003
322.889,193.125,408.746
418.627,230.49,432.823
222.25,114.695,470.589
262.855,128.297,347.746
298.571,166.09199999999998,550.198
272.492,135.089,422.412
227.833,133.71,254.272
127.431,78.492,178.904
275.656,192.237,355.754
202.115,121.023,332.079
237.32,143.296,230.394
271.998,131.627,478.807
339.717,167.926,542.748
439.782,247.493,317.052
148.262,96.681,185.084
235.528,124.021,411.818
240.04399999999998,127.848,369.146
389.501,230.516,648.901
534.068,319.798,646.301
664.284,410.202,732.623
738.865,507.501,661.084
585.734,442.95099999999996,461.485
286.282,177.484,380.443
360.957,198.494,455.88100000000003
277.414,159.186,483.357
300.955,196.215,370.787
142.008,60.269,478.288
226.597,133.619,456.147
126.7,66.61,266.577
110.221,55.393,306.42
187.131,102.983,273.07
155.549,97.152,267.402
111.401,60.717,360.893
130.25,83.719,396.2
174.033,119.067,375.003
162.89000000000001,113.571,378.158
272.173,173.853,600.837
322.322,221.711,514.306
347.555,184.377,612.6850000000001
619.795,329.474,579.9209999999999
496.346,311.669,688.693
430.196,292.57,611.746
400.523,293.257,348.076
292.275,214.886,476.836
236.388,141.973,348.722
248.766,136.2,436.965
125.306,73.237,383.083
129.438,58.074,454.719
107.99000000000001,71.482,400.723
140.147,91.725,259.13
181.512,86.301,359.905
166.598,84.196,397.221
152.923,83.36,470.61
183.434,112.586,434.10200000000003
181.493,112.591,415.847
226.011,159.14600000000002,418.003
169.373,123.062,194.677
208.463,124.019,498.099
169.811,90.71300000000001,552.267
183.79,88.547,297.385
84.728,34.668,216.977
126.682,64.681,444.886
211.427,154.385,386.944
159.273,105.768,328.868
339.826,183.809,662.355
347.487,217.464,582.986
338.308,204.093,537.863
380.993,209.40300000000002,534.2090000000001
292.364,157.038,548.926
261.544,152.856,408.812
285.382,176.013,433.75
348.945,179.222,565.134
350.397,179.072,572.602
424.73,258.736,631.185
371.748,210.05599999999998,598.974
311.574,213.054,444.802
287.988,225.473,380.193
303.072,213.692,465.628
394.625,226.792,661.837
428.281,297.247,613.674
378.2,278.998,526.018
364.94100000000003,264.966,409.976
404.274,264.937,484.948
316.783,242.91400000000002,433.95799999999997
386.899,312.977,242.737
425.669,305.044,410.551
479.153,305.178,429.988
541.361,321.781,523.275
479.959,378.462,569.595
832.939,573.109,506.293
551.659,432.513,451.439
354.515,285.712,450.786
328.51,251.394,521.826
317.66,241.725,518.919
435.942,353.065,483.063
379.525,301.969,588.124
492.026,379.076,690.94
462.128,410.55,565.969
459.603,397.392,469.186
186.467,111.17,369.917
92.90299999999999,59.43,304.634
99.148,55.789,305.382
152.62,96.471,522.893
53.237,36.335,184.75300000000001
