"CubeId";"devwkibiim"
"PublishingDate";"2024-11-07 09:00"

"Date";"D0";"D1";"D2";"Value"
"2003-09";"K";"CN";"I";"123.80306892"
"2003-09";"K";"DE";"I";"96.01426312"
"2003-09";"K";"GB";"I";"108.25975618"
"2003-09";"K";"US";"I";"117.5095204"
"2003-10";"N";"CN";"I";"127.08439683"
"2003-10";"N";"DE";"I";"97.8414784"
"2003-10";"N";"GB";"I";"111.10238018"
"2003-10";"N";"US";"I";"127.32502943"
"2003-10";"K";"CN";"I";"127.80564143"
"2003-10";"K";"DE";"I";"95.93464191"
"2003-10";"K";"GB";"I";"108.30592534"
"2003-10";"K";"US";"I";"122.59031859"
"2003-11";"N";"CN";"I";"126.26591507"
"2003-11";"N";"DE";"I";"97.17040177"
"2003-11";"N";"GB";"I";"109.54607641"
"2003-11";"N";"US";"I";"126.43110383"
"2003-11";"K";"CN";"I";"125.50046213"
"2003-11";"K";"DE";"I";"95.13172276"
"2003-11";"K";"GB";"I";"106.67776224"
"2003-11";"K";"US";"I";"121.59135565"
"2003-12";"N";"CN";"I";"133.13427624"
"2003-12";"N";"DE";"I";"97.38517014"
"2003-12";"N";"GB";"I";"111.25749992"
"2003-12";"N";"US";"I";"133.08263873"
"2003-12";"K";"CN";"I";"131.99817966"
"2003-12";"K";"DE";"I";"95.38717769"
"2003-12";"K";"GB";"I";"108.38775308"
"2003-12";"K";"US";"I";"127.73866795"
"2004-01";"N";"CN";"I";"135.54259377"
"2004-01";"N";"DE";"I";"96.75185163"
"2004-01";"N";"GB";"I";"109.12210606"
"2004-01";"N";"US";"I";"135.67367489"
"2004-01";"K";"CN";"I";"134.07963576"
"2004-01";"K";"DE";"I";"94.52584119"
"2004-01";"K";"GB";"I";"106.02811493"
"2004-01";"K";"US";"I";"129.71532272"
"2004-02";"N";"CN";"I";"135.12413242"
"2004-02";"N";"DE";"I";"96.28185067"
"2004-02";"N";"GB";"I";"106.08087948"
"2004-02";"N";"US";"I";"135.40027873"
"2004-02";"K";"CN";"I";"134.61611102"
"2004-02";"K";"DE";"I";"93.98536895"
"2004-02";"K";"GB";"I";"102.88433634"
"2004-02";"K";"US";"I";"129.08879359"
"2004-03";"N";"CN";"I";"131.69394639"
"2004-03";"N";"DE";"I";"96.68632204"
"2004-03";"N";"GB";"I";"105.5952077"
"2004-03";"N";"US";"I";"131.88480252"
"2004-03";"K";"CN";"I";"129.98115606"
"2004-03";"K";"DE";"I";"94.34523993"
"2004-03";"K";"GB";"I";"102.66761385"
"2004-03";"K";"US";"I";"125.56744844"
"2004-04";"N";"CN";"I";"129.71498715"
"2004-04";"N";"DE";"I";"97.43798396"
"2004-04";"N";"GB";"I";"105.31545193"
"2004-04";"N";"US";"I";"129.98821116"
"2004-04";"K";"CN";"I";"127.33629299"
"2004-04";"K";"DE";"I";"94.84196281"
"2004-04";"K";"GB";"I";"102.4106441"
"2004-04";"K";"US";"I";"123.79277577"
"2004-05";"N";"CN";"I";"131.20814037"
"2004-05";"N";"DE";"I";"98.35439976"
"2004-05";"N";"GB";"I";"107.5560906"
"2004-05";"N";"US";"I";"131.44661687"
"2004-05";"K";"CN";"I";"128.70402303"
"2004-05";"K";"DE";"I";"95.75192511"
"2004-05";"K";"GB";"I";"104.64584289"
"2004-05";"K";"US";"I";"124.83068297"
"2004-06";"N";"CN";"I";"134.5244365"
"2004-06";"N";"DE";"I";"99.7337896"
"2004-06";"N";"GB";"I";"107.72434775"
"2004-06";"N";"US";"I";"134.59360549"
"2004-06";"K";"CN";"I";"131.93785393"
"2004-06";"K";"DE";"I";"97.23652929"
"2004-06";"K";"GB";"I";"104.98920018"
"2004-06";"K";"US";"I";"127.62702412"
"2004-07";"N";"CN";"I";"135.10710141"
"2004-07";"N";"DE";"I";"99.20763395"
"2004-07";"N";"GB";"I";"107.51512156"
"2004-07";"N";"US";"I";"135.37370715"
"2004-07";"K";"CN";"I";"131.85456036"
"2004-07";"K";"DE";"I";"96.3886104"
"2004-07";"K";"GB";"I";"104.3656696"
"2004-07";"K";"US";"I";"128.0795937"
"2004-08";"N";"CN";"I";"133.23372365"
"2004-08";"N";"DE";"I";"98.47765587"
"2004-08";"N";"GB";"I";"107.2130877"
"2004-08";"N";"US";"I";"133.32346148"
"2004-08";"K";"CN";"I";"129.93928864"
"2004-08";"K";"DE";"I";"95.77968812"
"2004-08";"K";"GB";"I";"104.30935002"
"2004-08";"K";"US";"I";"126.46991428"
"2004-09";"N";"CN";"I";"133.18291169"
"2004-09";"N";"DE";"I";"98.15653246"
"2004-09";"N";"GB";"I";"108.80312462"
"2004-09";"N";"US";"I";"133.30187187"
"2004-09";"K";"CN";"I";"129.32200728"
"2004-09";"K";"DE";"I";"95.41244179"
"2004-09";"K";"GB";"I";"105.83351528"
"2004-09";"K";"US";"I";"126.2566752"
"2004-10";"N";"CN";"I";"136.23406354"
"2004-10";"N";"DE";"I";"98.18220237"
"2004-10";"N";"GB";"I";"110.39325483"
"2004-10";"N";"US";"I";"136.33930981"
"2004-10";"K";"CN";"I";"133.07588572"
"2004-10";"K";"DE";"I";"95.69232319"
"2004-10";"K";"GB";"I";"107.55813291"
"2004-10";"K";"US";"I";"128.79227026"
"2004-11";"N";"CN";"I";"143.65572145"
"2004-11";"N";"DE";"I";"99.51184698"
"2004-11";"N";"GB";"I";"113.07631042"
"2004-11";"N";"US";"I";"143.52674016"
"2004-11";"K";"CN";"I";"140.78224768"
"2004-11";"K";"DE";"I";"97.06621691"
"2004-11";"K";"GB";"I";"110.04365177"
"2004-11";"K";"US";"I";"135.27984681"
"2004-12";"N";"CN";"I";"146.69724783"
"2004-12";"N";"DE";"I";"98.61775731"
"2004-12";"N";"GB";"I";"111.45074915"
"2004-12";"N";"US";"I";"147.01351025"
"2004-12";"K";"CN";"I";"143.89288907"
"2004-12";"K";"DE";"I";"95.73452144"
"2004-12";"K";"GB";"I";"108.18384965"
"2004-12";"K";"US";"I";"138.39740901"
"2005-01";"N";"CN";"I";"142.50012524"
"2005-01";"N";"DE";"I";"97.92503387"
"2005-01";"N";"GB";"I";"111.32403956"
"2005-01";"N";"US";"I";"142.97336201"
"2005-01";"K";"CN";"I";"140.19843631"
"2005-01";"K";"DE";"I";"95.47324643"
"2005-01";"K";"GB";"I";"107.73055673"
"2005-01";"K";"US";"I";"134.37441408"
"2005-02";"N";"CN";"I";"141.19087079"
"2005-02";"N";"DE";"I";"97.72340854"
"2005-02";"N";"GB";"I";"109.6399339"
"2005-02";"N";"US";"I";"141.41062695"
"2005-02";"K";"CN";"I";"137.39513088"
"2005-02";"K";"DE";"I";"95.15461405"
"2005-02";"K";"GB";"I";"106.0915215"
"2005-02";"K";"US";"I";"132.61855472"
"2005-03";"N";"CN";"I";"143.07850372"
"2005-03";"N";"DE";"I";"97.77112285"
"2005-03";"N";"GB";"I";"110.17445656"
"2005-03";"N";"US";"I";"143.32571299"
"2005-03";"K";"CN";"I";"139.65858301"
"2005-03";"K";"DE";"I";"95.14102003"
"2005-03";"K";"GB";"I";"106.65733389"
"2005-03";"K";"US";"I";"134.19400526"
"2005-04";"N";"CN";"I";"140.69297757"
"2005-04";"N";"DE";"I";"97.90027511"
"2005-04";"N";"GB";"I";"108.78150333"
"2005-04";"N";"US";"I";"140.91419918"
"2005-04";"K";"CN";"I";"137.53259143"
"2005-04";"K";"DE";"I";"95.49197112"
"2005-04";"K";"GB";"I";"105.21972621"
"2005-04";"K";"US";"I";"131.45828428"
"2005-05";"N";"CN";"I";"138.26782649"
"2005-05";"N";"DE";"I";"98.04694683"
"2005-05";"N";"GB";"I";"109.10376228"
"2005-05";"N";"US";"I";"138.43157803"
"2005-05";"K";"CN";"I";"134.74194515"
"2005-05";"K";"DE";"I";"95.27709462"
"2005-05";"K";"GB";"I";"105.2125233"
"2005-05";"K";"US";"I";"129.27866426"
"2005-06";"N";"CN";"I";"132.99785562"
"2005-06";"N";"DE";"I";"98.46684203"
"2005-06";"N";"GB";"I";"107.08513076"
"2005-06";"N";"US";"I";"133.18014157"
"2005-06";"K";"CN";"I";"129.38396823"
"2005-06";"K";"DE";"I";"95.34605273"
"2005-06";"K";"GB";"I";"103.06113157"
"2005-06";"K";"US";"I";"124.0870076"
"2005-07";"N";"CN";"I";"129.25966991"
"2005-07";"N";"DE";"I";"97.21033378"
"2005-07";"N";"GB";"I";"108.75268831"
"2005-07";"N";"US";"I";"130.1559607"
"2005-07";"K";"CN";"I";"125.63309786"
"2005-07";"K";"DE";"I";"94.12216812"
"2005-07";"K";"GB";"I";"104.38418736"
"2005-07";"K";"US";"I";"120.88891763"
"2005-08";"N";"CN";"I";"130.31532904"
"2005-08";"N";"DE";"I";"97.54089426"
"2005-08";"N";"GB";"I";"108.7549846"
"2005-08";"N";"US";"I";"133.30320668"
"2005-08";"K";"CN";"I";"126.87856767"
"2005-08";"K";"DE";"I";"94.34936534"
"2005-08";"K";"GB";"I";"104.44547027"
"2005-08";"K";"US";"I";"123.2506618"
"2005-09";"N";"CN";"I";"130.04897731"
"2005-09";"N";"DE";"I";"97.77461139"
"2005-09";"N";"GB";"I";"107.80534979"
"2005-09";"N";"US";"I";"133.237145"
"2005-09";"K";"CN";"I";"126.97125106"
"2005-09";"K";"DE";"I";"94.62628722"
"2005-09";"K";"GB";"I";"103.66468049"
"2005-09";"K";"US";"I";"122.27270174"
"2005-10";"N";"CN";"I";"127.6001902"
"2005-10";"N";"DE";"I";"97.79019146"
"2005-10";"N";"GB";"I";"108.41559258"
"2005-10";"N";"US";"I";"130.73149089"
"2005-10";"K";"CN";"I";"124.5904569"
"2005-10";"K";"DE";"I";"94.8301062"
"2005-10";"K";"GB";"I";"104.47996464"
"2005-10";"K";"US";"I";"119.88370535"
"2005-11";"N";"CN";"I";"125.37806829"
"2005-11";"N";"DE";"I";"98.02494626"
"2005-11";"N";"GB";"I";"108.36647446"
"2005-11";"N";"US";"I";"128.55592738"
"2005-11";"K";"CN";"I";"122.30341122"
"2005-11";"K";"DE";"I";"94.87099707"
"2005-11";"K";"GB";"I";"104.17734394"
"2005-11";"K";"US";"I";"118.15408093"
"2005-12";"N";"CN";"I";"125.73019791"
"2005-12";"N";"DE";"I";"97.83356385"
"2005-12";"N";"GB";"I";"108.10103035"
"2005-12";"N";"US";"I";"129.02451721"
"2005-12";"K";"CN";"I";"122.4712736"
"2005-12";"K";"DE";"I";"94.57452801"
"2005-12";"K";"GB";"I";"103.72589852"
"2005-12";"K";"US";"I";"118.55792592"
"2006-01";"N";"CN";"I";"128.09503204"
"2006-01";"N";"DE";"I";"97.76058556"
"2006-01";"N";"GB";"I";"109.12529214"
"2006-01";"N";"US";"I";"131.60244521"
"2006-01";"K";"CN";"I";"124.83559825"
"2006-01";"K";"DE";"I";"94.80142526"
"2006-01";"K";"GB";"I";"104.74354722"
"2006-01";"K";"US";"I";"120.48892932"
"2006-02";"N";"CN";"I";"125.44231631"
"2006-02";"N";"DE";"I";"97.22712954"
"2006-02";"N";"GB";"I";"108.11168354"
"2006-02";"N";"US";"I";"129.11860039"
"2006-02";"K";"CN";"I";"122.55508962"
"2006-02";"K";"DE";"I";"94.23625758"
"2006-02";"K";"GB";"I";"103.85164939"
"2006-02";"K";"US";"I";"118.42466565"
"2006-03";"N";"CN";"I";"125.10769779"
"2006-03";"N";"DE";"I";"96.54848697"
"2006-03";"N";"GB";"I";"108.26288248"
"2006-03";"N";"US";"I";"129.05833859"
"2006-03";"K";"CN";"I";"122.23051433"
"2006-03";"K";"DE";"I";"93.63451424"
"2006-03";"K";"GB";"I";"103.83410326"
"2006-03";"K";"US";"I";"118.10294322"
"2006-04";"N";"CN";"I";"126.79859122"
"2006-04";"N";"DE";"I";"96.20828871"
"2006-04";"N";"GB";"I";"108.65243508"
"2006-04";"N";"US";"I";"131.14603309"
"2006-04";"K";"CN";"I";"123.37217527"
"2006-04";"K";"DE";"I";"93.03256667"
"2006-04";"K";"GB";"I";"103.83790446"
"2006-04";"K";"US";"I";"119.38701941"
"2006-05";"N";"CN";"I";"133.54593368"
"2006-05";"N";"DE";"I";"97.28171856"
"2006-05";"N";"GB";"I";"108.20116607"
"2006-05";"N";"US";"I";"138.04980547"
"2006-05";"K";"CN";"I";"129.76536855"
"2006-05";"K";"DE";"I";"94.146593"
"2006-05";"K";"GB";"I";"103.24462131"
"2006-05";"K";"US";"I";"125.46391407"
"2006-06";"N";"CN";"I";"132.08062632"
"2006-06";"N";"DE";"I";"97.0890026"
"2006-06";"N";"GB";"I";"108.48556827"
