"PERIOD","SECTOR","CLASSIFICATION","VALUE","STATUS","UNIT_MEAS"
"1997","S.2","P.7","10.3567200772225","A","ACPP"
"1997","S.2","P.71","136403.49491401","A","MCHF"
"1997","S.2","P.71","133002.246594254","A","Y"
"1997","S.2","P.71","15.627257532265","A","AC"
"1997","S.2","P.71","12.7440688306299","A","ACPP"
"1997","S.2","P.71c","111699.289955463","A","MCHF"
"1997","S.2","P.71c","108351.691988382","A","Y"
"1997","S.2","P.71c","13.4208731780345","A","AC"
"1997","S.2","P.71c","10.0216798203441","A","ACPP"
"1997","S.2","P.72","43178.6451501024","A","MCHF"
"1997","S.2","P.72","42004.4652544583","A","Y"
"1997","S.2","P.72","6.31349320578749","A","AC"
"1997","S.2","P.72","3.42245375969141","A","ACPP"
"1997","S.2","P.6","198915.529788685","A","MCHF"
"1997","S.2","P.6","197975.749303581","A","Y"
"1997","S.2","P.6","15.3348167116281","A","AC"
"1997","S.2","P.6","14.7899150133353","A","ACPP"
"1997","S.2","P.61","140377.500177631","A","MCHF"
"1997","S.2","P.61","139732.484511885","A","Y"
"1997","S.2","P.61","17.0784017697493","A","AC"
"1997","S.2","P.61","16.5404423163723","A","ACPP"
"1997","S.2","P.61c","113908.742316631","A","MCHF"
"1997","S.2","P.61c","113328.603196129","A","Y"
"1997","S.2","P.61c","12.1838774984952","A","AC"
"1997","S.2","P.61c","11.6125231432204","A","ACPP"
"1997","S.2","P.62","58538.0296110543","A","MCHF"
"1997","S.2","P.62","58243.2647916959","A","Y"
"1997","S.2","P.62","11.3578973976882","A","AC"
"1997","S.2","P.62","10.7971612279085","A","ACPP"
"1998","S.1","B.1*b","439954.87869814","A","MCHF"
"1998","S.1","B.1*b","440789.112940366","A","Y"
"1998","S.1","B.1*b","2.83497547429463","A","AC"
"1998","S.1","B.1*b","3.02996923841196","A","ACPP"
"1998","S.1","P.3","302746.788311762","A","MCHF"
"1998","S.1","P.3","303075.553790409","A","Y"
"1998","S.1","P.3","1.97887192790092","A","AC"
"1998","S.1","P.3","2.08961507674881","A","ACPP"
"1998","S.1","P.51b","117996.680558574","A","MCHF"
"1998","S.1","P.51b","118822.713490167","A","Y"
"1998","S.1","P.51b","7.40649278755503","A","AC"
"1998","S.1","P.51b","8.15838936370778","A","ACPP"
"1998","S.1","P.5111be","76535.7459406389","A","MCHF"
"1998","S.1","P.5111be","77212.7277331206","A","Y"
"1998","S.1","P.5111be","11.4598184473467","A","AC"
"1998","S.1","P.5111be","12.4457142108856","A","ACPP"
"1998","S.1","P.5111c","41460.9346179352","A","MCHF"
"1998","S.1","P.5111c","41609.985757046","A","Y"
"1998","S.1","P.5111c","0.649841673425671","A","AC"
"1998","S.1","P.5111c","1.01167561882502","A","ACPP"
"1998","S.1","P.52","798.468431200962","A","MCHF"
"1998","S.1","P.52","2229.15739805961","A","Y"
"1998","S.1","P.52","-62.6988962912056","A","AC"
"1998","S.1","P.52","4.13690515376208","A","ACPP"
"1998","S.1","P.53","1810.14522536401","A","MCHF"
"1998","S.1","P.53","1659.46459529632","A","Y"
"1998","S.1","P.53","576.525413880335","A","AC"
"1998","S.1","P.53","536.858348166137","A","ACPP"
"1998","S.1","P.5","120605.294215139","A","MCHF"
"1998","S.1","P.5","122711.335483523","A","Y"
"1998","S.1","P.5","8.04926383228865","A","AC"
