"CubeId";"amarbma"
"PublishingDate";"2024-11-21 09:00"

"Date";"D0";"Value"
"2007-02";"T1";"3.20231528"
"2007-02";"S1";"2.96507109"
"2007-02";"E";"3946988"
"2007-03";"T1";"2.98746791"
"2007-03";"S1";"2.87771333"
"2007-03";"E";"3946988"
"2007-04";"T1";"2.85861016"
"2007-04";"S1";"2.83780949"
"2007-04";"E";"3946988"
"2007-05";"T1";"2.69065931"
"2007-05";"S1";"2.79005155"
"2007-05";"E";"3946988"
"2007-06";"T1";"2.52802897"
"2007-06";"S1";"2.7262054"
"2007-06";"E";"3946988"
"2007-07";"T1";"2.5279783"
"2007-07";"S1";"2.7120427"
"2007-07";"E";"3946988"
"2007-08";"T1";"2.55275668"
"2007-08";"S1";"2.68637756"
"2007-08";"E";"3946988"
"2007-09";"T1";"2.52549539"
"2007-09";"S1";"2.65194624"
"2007-09";"E";"3946988"
"2007-10";"T1";"2.58523715"
"2007-10";"S1";"2.65316236"
"2007-10";"E";"3946988"
"2007-11";"T1";"2.65569594"
"2007-11";"S1";"2.63375516"
"2007-11";"E";"3946988"
"2007-12";"T1";"2.76190351"
"2007-12";"S1";"2.59445937"
"2007-12";"E";"3946988"
"2008-01";"T1";"2.8344905"
"2008-01";"S1";"2.57867518"
"2008-01";"E";"3946988"
"2008-02";"T1";"2.74784215"
"2008-02";"S1";"2.54279972"
"2008-02";"E";"3946988"
"2008-03";"T1";"2.62927072"
"2008-03";"S1";"2.52845968"
"2008-03";"E";"3946988"
"2008-04";"T1";"2.55587298"
"2008-04";"S1";"2.53241206"
"2008-04";"E";"3946988"
"2008-05";"T1";"2.41110437"
"2008-05";"S1";"2.50322524"
"2008-05";"E";"3946988"
"2008-06";"T1";"2.31764069"
"2008-06";"S1";"2.4965366"
"2008-06";"E";"3946988"
"2008-07";"T1";"2.33502103"
"2008-07";"S1";"2.50548013"
"2008-07";"E";"3946988"
"2008-08";"T1";"2.38255095"
"2008-08";"S1";"2.51239679"
"2008-08";"E";"3946988"
"2008-09";"T1";"2.43172769"
"2008-09";"S1";"2.55511291"
"2008-09";"E";"3946988"
"2008-10";"T1";"2.54551065"
"2008-10";"S1";"2.61979515"
"2008-10";"E";"3946988"
"2008-11";"T1";"2.72744685"
"2008-11";"S1";"2.70961047"
"2008-11";"E";"3946988"
"2008-12";"T1";"3.00892731"
"2008-12";"S1";"2.82253202"
"2008-12";"E";"3946988"
"2009-01";"T1";"3.25387359"
"2009-01";"S1";"2.960688"
"2009-01";"E";"3946988"
"2009-02";"T1";"3.35450729"
"2009-02";"S1";"3.10365778"
"2009-02";"E";"3946988"
"2009-03";"T1";"3.41305826"
"2009-03";"S1";"3.27888"
"2009-03";"E";"3946988"
"2009-04";"T1";"3.46362847"
"2009-04";"S1";"3.43449233"
"2009-04";"E";"3946988"
"2009-05";"T1";"3.42357261"
"2009-05";"S1";"3.55232902"
"2009-05";"E";"3946988"
"2009-06";"T1";"3.55341845"
"2009-06";"S1";"3.82544867"
"2009-06";"E";"3946988"
"2009-07";"T1";"3.6829096"
"2009-07";"S1";"3.94771912"
"2009-07";"E";"3946988"
"2009-08";"T1";"3.82142028"
"2009-08";"S1";"4.02750148"
"2009-08";"E";"3946988"
"2009-09";"T1";"3.91207169"
"2009-09";"S1";"4.1076132"
"2009-09";"E";"3946988"
"2009-10";"T1";"4.00654879"
"2009-10";"S1";"4.12580428"
"2009-10";"E";"3946988"
"2009-11";"T1";"4.15380032"
"2009-11";"S1";"4.12506955"
"2009-11";"E";"3946988"
"2009-12";"T1";"4.37650178"
"2009-12";"S1";"4.09319714"
"2009-12";"E";"3946988"
"2010-01";"T1";"4.06590577"
"2010-01";"S1";"3.69883728"
"2010-01";"E";"4322899"
"2010-02";"T1";"4.00192093"
"2010-02";"S1";"3.69772692"
"2010-02";"E";"4322899"
"2010-03";"T1";"3.84075594"
"2010-03";"S1";"3.69152738"
"2010-03";"E";"4322899"
"2010-04";"T1";"3.66814029"
"2010-04";"S1";"3.64734406"
"2010-04";"E";"4322899"
"2010-05";"T1";"3.49473814"
"2010-05";"S1";"3.63129002"
"2010-05";"E";"4322899"
"2010-06";"T1";"3.34203968"
"2010-06";"S1";"3.59973712"
"2010-06";"E";"4322899"
"2010-07";"T1";"3.29246647"
"2010-07";"S1";"3.5371865"
"2010-07";"E";"4322899"
"2010-08";"T1";"3.30516628"
"2010-08";"S1";"3.48164507"
"2010-08";"E";"4322899"
"2010-09";"T1";"3.23949276"
"2010-09";"S1";"3.40660284"
"2010-09";"E";"4322899"
"2010-10";"T1";"3.22387824"
"2010-10";"S1";"3.3198555"
"2010-10";"E";"4322899"
"2010-11";"T1";"3.27715267"
"2010-11";"S1";"3.25425137"
"2010-11";"E";"4322899"
"2010-12";"T1";"3.4383408"
"2010-12";"S1";"3.20389165"
"2010-12";"E";"4322899"
"2011-01";"T1";"3.44176443"
"2011-01";"S1";"3.12311252"
"2011-01";"E";"4322899"
"2011-02";"T1";"3.31548343"
"2011-02";"S1";"3.05780912"
"2011-02";"E";"4322899"
"2011-03";"T1";"3.12070673"
"2011-03";"S1";"3.00256842"
"2011-03";"E";"4322899"
"2011-04";"T1";"2.85567625"
"2011-04";"S1";"2.83888196"
"2011-04";"E";"4322899"
"2011-05";"T1";"2.65294193"
"2011-05";"S1";"2.76504263"
"2011-05";"E";"4322899"
"2011-06";"T1";"2.55333284"
"2011-06";"S1";"2.75072353"
"2011-06";"E";"4322899"
"2011-07";"T1";"2.52608261"
"2011-07";"S1";"2.71972581"
"2011-07";"E";"4322899"
"2011-08";"T1";"2.58361345"
